# Sensor Växjö, Sweden (Citizen Science project sensor.community/17662)
# https://aqicn.org/station/@63646/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2020-03-20T00:00:00.000Z,0.81,2.66,1.28,1.18,1.86,0.466,489
2020-03-21T00:00:00.000Z,0.8,4.72,1.23,1.13,1.36,0.353,507
2020-03-22T00:00:00.000Z,0.9,1.83,1.27,1.12,1.41,0.189,496
2020-03-23T00:00:00.000Z,1.1,2.46,1.42,1.32,1.85,0.34,490
2020-03-24T00:00:00.000Z,1.55,5.82,3.02,2.2,3.58,1.126,495
2020-03-25T00:00:00.000Z,5.07,9.46,7.5,6.36,8.03,0.985,466
2020-03-26T00:00:00.000Z,5.51,18.8,7.36,6.67,9.16,1.753,461
2020-03-27T00:00:00.000Z,5.95,65.09,8.69,7.36,9.52,4.064,416
2020-03-28T00:00:00.000Z,1.11,14.34,2.83,1.49,4.82,2.523,195
2020-03-29T00:00:00.000Z,0.82,3.03,1.14,1.05,1.27,0.208,373
2020-03-30T00:00:00.000Z,0.8,31.06,1.08,1,1.17,4.027,149
2020-03-31T00:00:00.000Z,1.01,9.11,1.38,1.25,1.82,0.607,348
2020-04-01T00:00:00.000Z,1.48,3.47,2.29,1.99,2.69,0.419,232
2020-04-02T00:00:00.000Z,1.2,5.72,3,2.2,3.34,0.728,490
2020-04-03T00:00:00.000Z,0.78,3.62,1.75,1.25,2.48,0.689,513
2020-04-04T00:00:00.000Z,0.95,2.62,1.49,1.35,1.94,0.357,546
2020-04-05T00:00:00.000Z,1.78,18.34,2.99,2.25,7.35,4.614,556
2020-04-06T00:00:00.000Z,2.56,11.71,5.86,4.62,6.84,1.399,526
2020-04-07T00:00:00.000Z,1.65,15.54,2.64,2.24,9.23,3.924,471
2020-04-08T00:00:00.000Z,1.91,4.95,2.5,2.33,2.86,0.498,501
2020-04-09T00:00:00.000Z,0.86,24.67,1.27,1.11,3.31,1.833,500
2020-04-10T00:00:00.000Z,1,17.03,1.42,1.23,1.7,1.157,534
2020-04-11T00:00:00.000Z,1.25,9.85,2.88,2.52,3.25,1.281,159
2020-04-12T00:00:00.000Z,1.92,11.52,5.08,3.22,6.64,2.474,591
2020-04-13T00:00:00.000Z,0.65,2.72,1.23,1.05,1.38,0.401,585
2020-04-14T00:00:00.000Z,0.7,2.25,1.25,1.15,1.52,0.284,570
2020-04-15T00:00:00.000Z,1.48,3.9,2.52,2.18,3.12,0.567,519
2020-04-16T00:00:00.000Z,0.76,4.03,1.18,0.98,2.13,0.612,519
2020-04-17T00:00:00.000Z,0.64,16.16,1.04,0.92,1.28,0.92,576
2020-04-18T00:00:00.000Z,0.95,15.06,1.31,1.18,1.5,1.299,585
2020-04-19T00:00:00.000Z,0.76,9.23,1.05,0.95,1.45,0.708,565
2020-04-20T00:00:00.000Z,0.81,59.23,1.1,1,1.25,4.375,522
2020-04-21T00:00:00.000Z,0.66,55.57,1.13,0.9,1.52,5.122,381
2020-04-22T00:00:00.000Z,0.73,45.95,1.32,1.05,1.5,4.704,415
2020-04-23T00:00:00.000Z,0.72,54.03,1.32,1.06,1.55,3.253,478
2020-04-24T00:00:00.000Z,0.65,5.45,1.35,1.1,1.71,0.93,546
2020-04-25T00:00:00.000Z,0.66,5.68,1.05,0.92,1.13,0.342,514
2020-04-26T00:00:00.000Z,0.66,1.92,1.14,0.95,1.5,0.318,559
2020-04-27T00:00:00.000Z,1.55,5.38,2.78,2.02,3.42,0.953,537
2020-04-28T00:00:00.000Z,0.75,3.98,1.25,1.01,1.72,0.543,411
2020-04-29T00:00:00.000Z,0.88,5,1.35,1.21,1.54,0.387,514
2020-04-30T00:00:00.000Z,1.46,12.82,2.77,1.84,3.8,2.058,540
2020-05-01T00:00:00.000Z,0.9,9.96,2.13,1.44,4.74,2.786,547
2020-05-02T00:00:00.000Z,0.9,7.04,2.17,1.42,3.81,1.428,545
2020-05-03T00:00:00.000Z,1.02,3.24,1.8,1.48,2.17,0.464,578
2020-05-04T00:00:00.000Z,0.65,3.12,1.38,1.1,2.17,0.666,539
2020-05-05T00:00:00.000Z,0.64,17.38,1.38,1.14,1.53,1.043,502
2020-05-06T00:00:00.000Z,1,2.94,1.6,1.45,1.86,0.404,596
2020-05-07T00:00:00.000Z,1.15,5.25,1.64,1.44,1.91,0.463,389
2020-05-08T00:00:00.000Z,1.65,6,4,3.32,4.42,0.894,351
2020-05-09T00:00:00.000Z,1.27,9.02,2.44,1.57,5.94,2.504,343
2020-05-10T00:00:00.000Z,1,6.18,2.29,1.72,4.22,1.455,251
2020-05-11T00:00:00.000Z,0.5,6.52,0.92,0.79,1.04,0.477,355
2020-05-12T00:00:00.000Z,0.85,1.82,1.24,1.09,1.38,0.203,486
2020-05-13T00:00:00.000Z,0.8,6.49,1.05,0.98,1.1,0.871,482
2020-05-14T00:00:00.000Z,0.85,1.95,1.34,1.13,1.52,0.248,460
2020-05-15T00:00:00.000Z,0.9,2.4,1.5,1.27,1.68,0.287,538
2020-05-16T00:00:00.000Z,0.86,2.84,1.67,1.46,1.96,0.384,336
2020-05-17T00:00:00.000Z,0.81,2.85,1.7,1.49,2,0.42,540
2020-05-18T00:00:00.000Z,1.05,3.38,1.48,1.35,2.2,0.569,470
2020-05-19T00:00:00.000Z,0.64,2.04,0.98,0.9,1.08,0.281,545
2020-05-20T00:00:00.000Z,0.8,1.98,1.1,1.02,1.17,0.149,552
2020-05-21T00:00:00.000Z,0.9,4.71,1.2,1.1,1.4,0.361,512
2020-05-22T00:00:00.000Z,1.06,2.75,1.5,1.32,2.08,0.423,549
2020-05-23T00:00:00.000Z,0.9,4.3,2.67,2.17,3.12,0.777,520
2020-05-24T00:00:00.000Z,1.2,4.28,1.8,1.6,3,0.8,537
2020-05-25T00:00:00.000Z,0.9,4.68,1.87,1.6,2.2,0.489,546
2020-05-26T00:00:00.000Z,1.1,3.97,1.7,1.52,1.9,0.358,499
2020-05-27T00:00:00.000Z,1.08,3.47,2,1.6,2.4,0.524,525
2020-05-28T00:00:00.000Z,0.9,2.1,1.37,1.2,1.5,0.24,545
2020-05-29T00:00:00.000Z,0.8,4.28,1.23,1.1,1.48,0.295,543
2020-05-30T00:00:00.000Z,0.6,2.85,1,0.88,1.1,0.207,568
2020-05-31T00:00:00.000Z,0.5,3.12,0.82,0.77,0.9,0.171,496
2020-06-01T00:00:00.000Z,0.6,6.7,1,0.9,1.2,0.643,495
2020-06-02T00:00:00.000Z,1.2,12.9,1.72,1.55,1.98,0.688,536
2020-06-03T00:00:00.000Z,1.1,19.12,1.7,1.48,2,1.882,459
2020-06-04T00:00:00.000Z,1.4,18.17,1.98,1.8,2.47,0.924,535
2020-06-05T00:00:00.000Z,1.12,6.6,2.25,1.6,2.72,0.662,451
2020-06-06T00:00:00.000Z,0.56,3.65,1.1,0.9,1.67,0.56,497
2020-06-07T00:00:00.000Z,1,3.1,1.7,1.35,2.2,0.491,543
2020-06-08T00:00:00.000Z,0.85,5.4,1.9,1.5,2.2,0.758,532
2020-06-09T00:00:00.000Z,1.08,2.4,1.48,1.32,1.67,0.237,500
2020-06-10T00:00:00.000Z,0.8,5.45,1.2,1.08,1.42,0.327,525
2020-06-11T00:00:00.000Z,0.9,2.5,1.3,1.12,1.5,0.247,563
2020-06-12T00:00:00.000Z,1.1,5.09,2.67,2.22,3.6,0.845,577
2020-06-13T00:00:00.000Z,1.7,9.77,2.7,2.33,5.28,2.024,548
2020-06-14T00:00:00.000Z,1.3,6.6,1.75,1.61,2.06,0.397,349
2020-06-15T00:00:00.000Z,1.45,3.25,1.98,1.8,2.2,0.269,565
