# Sensor Calle Hernando de Zafra, Centro, Spain (Citizen Science project sensor.community/47617)
# https://aqicn.org/station/@128242/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-10-04T00:00:00.000Z,0.5,5.32,1.85,1.25,3.25,1.268,211
2020-10-05T00:00:00.000Z,0.82,6.37,2.47,1.98,3.16,1.006,213
2020-10-06T00:00:00.000Z,1.52,8.07,3.28,2.52,4.43,1.268,223
2020-10-07T00:00:00.000Z,1.12,7.47,2.83,2.29,3.7,1.154,222
2020-10-08T00:00:00.000Z,0.9,7.43,2.2,1.83,2.75,0.978,207
2020-10-09T00:00:00.000Z,1.58,7.65,3.1,2.35,4.78,1.607,211
2020-10-10T00:00:00.000Z,2.1,13.5,4.47,3.58,5.87,1.917,247
2020-10-11T00:00:00.000Z,2.33,10.25,5.57,4.3,6.75,1.688,243
2020-10-12T00:00:00.000Z,0.82,7.05,2.08,1.52,2.78,1.198,209
2020-10-13T00:00:00.000Z,1,6.65,2.15,1.7,2.78,0.791,242
2020-10-14T00:00:00.000Z,0.8,4.5,2.33,1.77,2.87,0.753,237
2020-10-15T00:00:00.000Z,1.1,6.85,2.46,1.92,2.91,0.839,236
2020-10-16T00:00:00.000Z,1.27,8,2.92,2.27,3.62,1.418,242
2020-10-17T00:00:00.000Z,1.48,13.2,2.6,2.17,3.51,1.554,245
2020-10-18T00:00:00.000Z,1.2,25.08,2.42,1.98,3.1,1.937,255
2020-10-19T00:00:00.000Z,1,7.5,1.85,1.48,2.92,1.088,250
2020-10-20T00:00:00.000Z,1.27,9.02,3.42,2.7,5.13,1.656,253
2020-10-21T00:00:00.000Z,1.38,10.27,4.45,2.88,5.87,1.826,252
2020-10-22T00:00:00.000Z,1.23,10.93,3.05,2.47,4.68,2.319,243
2020-10-23T00:00:00.000Z,0.5,10.05,2.58,1.6,3.63,1.499,243
2020-10-24T00:00:00.000Z,0.38,6.5,1.63,1.02,2.76,1.131,245
2020-10-25T00:00:00.000Z,0.7,5.6,2.12,1.41,3.03,1.11,260
2020-10-26T00:00:00.000Z,0.2,3.6,1,0.77,1.25,0.44,263
2020-10-27T00:00:00.000Z,0.4,3.92,1.35,0.95,2,0.65,253
2020-10-28T00:00:00.000Z,0.5,20.92,2.6,1.75,3.46,2.382,264
2020-10-29T00:00:00.000Z,0.98,8.32,2.5,1.9,3.28,1.049,262
2020-10-30T00:00:00.000Z,1.23,7.65,2.38,1.98,3.47,1.296,251
2020-10-31T00:00:00.000Z,0.68,13.57,2.15,1.5,3.58,1.624,270
2020-11-01T00:00:00.000Z,1.58,33.79,5.12,2.97,11.55,8.342,262
2020-11-02T00:00:00.000Z,1.2,56.95,8.74,3.4,23.13,15.22,252
2020-11-03T00:00:00.000Z,5.2,53,28.27,14.48,37.83,13.247,261
2020-11-04T00:00:00.000Z,1.63,32.65,12.06,5.99,22.36,8.256,236
2020-11-05T00:00:00.000Z,3.47,16.77,8.57,6.57,10.19,2.891,219
2020-11-06T00:00:00.000Z,1.14,26.08,8.84,6.78,11.77,4.688,222
2020-11-07T00:00:00.000Z,1,10.02,2.83,2.25,3.47,1.048,248
2020-11-08T00:00:00.000Z,1.14,57.53,2.27,1.84,2.72,4.231,244
2020-11-09T00:00:00.000Z,1.3,9.69,2.76,2.15,4,1.328,218
2020-11-10T00:00:00.000Z,1.63,11.63,3.95,2.97,5.28,1.762,231
2020-11-11T00:00:00.000Z,1.35,14.3,3.71,2.52,6.85,2.777,238
2020-11-12T00:00:00.000Z,1.17,8.07,3.31,2.29,4.7,1.439,210
2020-11-13T00:00:00.000Z,2.85,12.32,5.57,4.8,7.28,2.113,219
2020-11-14T00:00:00.000Z,3.88,96.68,9.27,6.82,11.91,7.707,237
2020-11-15T00:00:00.000Z,0.75,20.5,3.38,2.04,6.82,4.049,218
2020-11-16T00:00:00.000Z,0.82,18.07,2.8,1.77,4.05,2.662,209
2020-11-17T00:00:00.000Z,0.93,22.95,4.93,2.17,9.75,6.197,219
2020-11-18T00:00:00.000Z,5.15,15.3,8.73,7.2,10.5,2.217,247
2020-11-19T00:00:00.000Z,2.08,9.6,5.7,3.72,7.25,1.955,242
2020-11-20T00:00:00.000Z,5.93,22.67,9.23,7.52,12.71,3.051,253
2020-11-21T00:00:00.000Z,2.02,14.25,3.65,3.15,5.58,3.938,233
2020-11-22T00:00:00.000Z,1.08,27.65,1.92,1.58,2.29,1.965,220
2020-11-23T00:00:00.000Z,1.2,20.45,1.92,1.63,2.38,1.475,210
2020-11-24T00:00:00.000Z,1.1,10.7,2.22,1.8,3.28,1.315,213
2020-11-25T00:00:00.000Z,1.12,9.68,4.25,3.42,5.47,1.677,209
2020-11-26T00:00:00.000Z,0.6,7.7,1.98,1.42,4.28,1.722,203
2020-11-27T00:00:00.000Z,0.28,4.57,1.6,1.1,2.58,0.923,202
2020-11-28T00:00:00.000Z,0.5,10.32,2.1,1.23,4.38,2.334,203
2020-11-29T00:00:00.000Z,0.4,18.27,2.33,1.48,3.97,2.496,205
2020-11-30T00:00:00.000Z,1.02,12.43,2.6,1.8,4.75,2.371,175
2020-12-01T00:00:00.000Z,2.75,13.48,4.34,3.67,7.35,2.497,169
2020-12-02T00:00:00.000Z,0.65,13.85,4.67,3.45,5.45,2.127,186
2020-12-03T00:00:00.000Z,1.08,10,2.2,1.75,3.79,1.941,165
2020-12-04T00:00:00.000Z,0.2,4.45,1.1,0.69,1.8,1.051,184
2020-12-05T00:00:00.000Z,0.2,2.02,0.8,0.56,1,0.319,166
2020-12-06T00:00:00.000Z,0.6,17.23,1.3,1.02,1.65,1.367,235
2020-12-07T00:00:00.000Z,0.5,3.33,1.49,0.95,1.84,0.634,220
2020-12-08T00:00:00.000Z,0.4,3.38,1.7,1.2,2.04,0.661,223
2020-12-09T00:00:00.000Z,0.4,3.47,1.44,1.1,1.73,0.548,196
2020-12-10T00:00:00.000Z,0.2,6.88,1,0.68,1.73,1.282,195
2020-12-11T00:00:00.000Z,0.1,5.47,0.4,0.3,0.65,0.923,235
2020-12-12T00:00:00.000Z,0,6.95,0.43,0.3,0.7,0.513,244
2020-12-13T00:00:00.000Z,0.4,20.1,2,0.9,3.28,1.879,238
2020-12-14T00:00:00.000Z,1.38,9.88,4.07,2.92,5.71,1.986,213
2020-12-15T00:00:00.000Z,0.7,9.43,1.67,1.3,2.4,1.921,227
2020-12-16T00:00:00.000Z,0.52,9.57,1.77,1.2,2.88,1.55,228
2020-12-17T00:00:00.000Z,0.55,12.95,3.03,1.94,4.4,1.876,217
2020-12-18T00:00:00.000Z,0.77,9.77,2.72,1.84,5.15,2.189,229
2020-12-19T00:00:00.000Z,0.8,29.48,6.05,2.25,11.75,7.476,223
2020-12-20T00:00:00.000Z,0.5,61.42,2.62,1.4,3.75,4.228,226
2020-12-21T00:00:00.000Z,0.8,12.07,2.83,2.11,4.04,2.732,216
2020-12-22T00:00:00.000Z,1.33,9.18,3.13,2.4,4.07,1.436,225
2020-12-23T00:00:00.000Z,0.6,16.85,2.75,1.3,7.7,3.937,231
2020-12-24T00:00:00.000Z,2.42,23.02,9.27,5.9,12.93,4.37,215
