# Sensor G 651, Tingsryds kommun, Sweden (Citizen Science project sensor.community/11763)
# https://aqicn.org/station/@59650/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2020-03-30T00:00:00.000Z,0.55,1.58,0.84,0.72,1.04,0.22,139
2020-03-31T00:00:00.000Z,0.47,9,0.87,0.74,1.35,1.069,315
2020-04-01T00:00:00.000Z,0.7,2.67,1.7,1.3,2.18,0.455,185
2020-04-02T00:00:00.000Z,0.87,6,2.29,1.95,2.68,0.79,419
2020-04-03T00:00:00.000Z,0.75,4.76,1.46,1.06,2.24,0.736,454
2020-04-04T00:00:00.000Z,0.6,4.71,1.14,0.85,1.45,0.543,511
2020-04-05T00:00:00.000Z,1.15,9.15,2.85,1.76,4.65,1.88,530
2020-04-06T00:00:00.000Z,1.4,7.6,5.18,3.95,6.02,1.525,520
2020-04-07T00:00:00.000Z,1.1,11.66,1.85,1.57,5.68,2.766,451
2020-04-08T00:00:00.000Z,1.2,2.65,1.8,1.6,2,0.287,460
2020-04-09T00:00:00.000Z,0.6,4.59,1.15,0.85,2.34,1.02,461
2020-04-10T00:00:00.000Z,0.5,2.16,0.95,0.78,1.41,0.395,512
2020-04-11T00:00:00.000Z,0.93,3.2,2.72,1.35,2.9,0.747,159
2020-04-12T00:00:00.000Z,1.52,8.32,4.28,2.18,5,1.755,591
2020-04-13T00:00:00.000Z,0.35,2.25,0.9,0.65,1.14,0.417,588
2020-04-14T00:00:00.000Z,0.53,8.6,0.98,0.82,1.34,0.777,573
2020-04-15T00:00:00.000Z,1.62,3.46,2.6,2.27,2.84,0.389,528
2020-04-16T00:00:00.000Z,0.55,2.42,1.1,0.88,1.82,0.517,526
2020-04-17T00:00:00.000Z,0.25,1.6,0.66,0.57,0.85,0.233,584
2020-04-18T00:00:00.000Z,0.4,2.95,0.84,0.68,0.99,0.279,587
2020-04-19T00:00:00.000Z,0.46,7.54,0.77,0.67,0.95,0.723,573
2020-04-20T00:00:00.000Z,0.4,1.94,0.76,0.66,0.94,0.28,520
2020-04-21T00:00:00.000Z,0.37,2.96,0.9,0.64,1.97,0.754,382
2020-04-22T00:00:00.000Z,0.6,4.46,0.85,0.75,1,0.254,423
2020-04-23T00:00:00.000Z,0.7,8.48,1.03,0.95,1.12,0.776,482
2020-04-24T00:00:00.000Z,0.57,3.28,1.13,0.97,1.44,0.526,544
2020-04-25T00:00:00.000Z,0.45,3.66,0.8,0.65,1,0.395,517
2020-04-26T00:00:00.000Z,0.38,1.75,1.08,0.7,1.21,0.318,567
2020-04-27T00:00:00.000Z,1.2,4.98,2.63,1.85,3.42,0.938,537
2020-04-28T00:00:00.000Z,0.7,6.64,1.31,1,1.91,1.417,418
2020-04-29T00:00:00.000Z,0.95,13.28,1.28,1.17,1.62,1.347,523
2020-04-30T00:00:00.000Z,1.34,9.32,2.82,1.8,3.37,2.005,549
2020-05-01T00:00:00.000Z,0.86,8.19,3.26,1.5,4.72,2.029,560
2020-05-02T00:00:00.000Z,0.78,8.58,2,1.5,6.83,2.727,546
2020-05-03T00:00:00.000Z,0.9,2.18,1.4,1.24,1.55,0.243,578
2020-05-04T00:00:00.000Z,0.45,2.46,1.1,0.84,1.6,0.479,542
2020-05-05T00:00:00.000Z,0.26,2.24,1.12,0.65,1.3,0.389,503
2020-05-06T00:00:00.000Z,0.6,2.24,1.35,1.12,1.64,0.37,594
2020-05-07T00:00:00.000Z,0.95,2.67,1.5,1.25,1.88,0.377,391
2020-05-08T00:00:00.000Z,1.9,6.85,3.74,3.07,4.26,0.889,348
2020-05-09T00:00:00.000Z,0.82,6.42,2.22,1.3,4.91,1.828,350
2020-05-10T00:00:00.000Z,1.12,10.75,2.6,1.6,7.44,3.035,248
2020-05-11T00:00:00.000Z,0.25,1.36,0.71,0.6,0.85,0.211,353
2020-05-12T00:00:00.000Z,0.51,23.32,0.9,0.75,1.05,1.601,468
2020-05-13T00:00:00.000Z,0.45,1,0.7,0.64,0.77,0.104,464
2020-05-14T00:00:00.000Z,0.5,1.92,1.02,0.85,1.1,0.193,458
2020-05-15T00:00:00.000Z,0.68,10.5,1.23,1.05,1.5,0.784,527
2020-05-16T00:00:00.000Z,0.65,2.66,1.46,1.2,1.85,0.447,340
2020-05-17T00:00:00.000Z,0.68,2.35,1.27,1.06,1.57,0.357,530
2020-05-18T00:00:00.000Z,0.55,2.58,1.06,0.77,1.55,0.467,469
2020-05-19T00:00:00.000Z,0.3,1.7,0.82,0.68,1.02,0.234,513
2020-05-20T00:00:00.000Z,0.57,7.1,0.86,0.8,0.97,0.786,496
2020-05-21T00:00:00.000Z,0.7,2.33,1.25,1.06,1.65,0.362,474
2020-05-22T00:00:00.000Z,0.8,3.15,1.35,1.14,1.62,0.388,553
2020-05-23T00:00:00.000Z,0.7,4.7,1.93,1.53,2.34,0.893,518
2020-05-24T00:00:00.000Z,0.7,3.13,1.53,1.29,2,0.477,548
2020-05-25T00:00:00.000Z,0.63,2.67,1.3,1.03,1.67,0.437,547
2020-05-26T00:00:00.000Z,1,2.7,1.5,1.37,1.8,0.325,509
2020-05-27T00:00:00.000Z,0.9,2.63,1.6,1.33,1.83,0.359,533
2020-05-28T00:00:00.000Z,0.6,2.13,1.12,1,1.4,0.285,553
2020-05-29T00:00:00.000Z,0.6,1.77,0.9,0.8,1.03,0.211,551
2020-05-30T00:00:00.000Z,0.3,1.7,0.8,0.7,0.9,0.211,574
2020-05-31T00:00:00.000Z,0.23,114.9,0.63,0.5,0.9,11.766,510
2020-06-01T00:00:00.000Z,0.3,1.12,0.62,0.5,0.77,0.158,494
2020-06-02T00:00:00.000Z,0.6,2.29,1.2,1,1.7,0.404,544
2020-06-03T00:00:00.000Z,0.8,2.29,1.27,1.1,1.57,0.304,460
2020-06-04T00:00:00.000Z,0.93,162.97,1.47,1.3,1.7,11.704,544
2020-06-05T00:00:00.000Z,0.6,3.5,1.9,0.9,2.5,0.794,454
2020-06-06T00:00:00.000Z,0.2,2.13,0.8,0.6,1.1,0.355,495
2020-06-07T00:00:00.000Z,0.9,2.4,1.4,1.17,1.7,0.311,551
2020-06-08T00:00:00.000Z,0.67,8.23,1.7,1.2,2.4,0.962,545
2020-06-09T00:00:00.000Z,0.6,2.52,1.2,1,1.5,0.307,500
2020-06-10T00:00:00.000Z,0.56,2.27,1.03,0.9,1.33,0.348,543
2020-06-11T00:00:00.000Z,0.6,4.13,1.2,0.9,1.4,0.363,570
2020-06-12T00:00:00.000Z,1.1,6.03,3.17,2.5,4.48,1.216,576
2020-06-13T00:00:00.000Z,1.4,9.23,2.43,2,4.9,2.264,552
2020-06-14T00:00:00.000Z,0.93,8.9,1.47,1.3,1.9,0.685,341
2020-06-15T00:00:00.000Z,1.1,2.23,1.53,1.4,1.7,0.206,571
2020-06-16T00:00:00.000Z,1,3.5,1.87,1.5,2.2,0.502,573
2020-06-17T00:00:00.000Z,1.2,4.33,2.29,2,2.6,0.583,560
