# Sensor Klackens Östergränd, Halmstad, Sweden (Citizen Science project sensor.community/82996)
# https://aqicn.org/station/@415030/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2024-04-14T00:00:00.000Z,1.1,10.35,2.02,1.75,2.5,1.618,558
2024-04-15T00:00:00.000Z,0.3,3.55,0.93,0.6,1.7,0.704,576
2024-04-16T00:00:00.000Z,0.2,2.13,0.95,0.6,1.2,0.362,563
2024-04-17T00:00:00.000Z,0.1,1.9,0.5,0.32,0.73,0.255,557
2024-04-18T00:00:00.000Z,0.13,2.29,0.5,0.4,0.68,0.325,571
2024-04-19T00:00:00.000Z,0.1,2.54,0.47,0.3,0.8,0.474,558
2024-04-20T00:00:00.000Z,0.6,3.65,1.5,1.14,1.92,0.508,555
2024-04-21T00:00:00.000Z,0.5,4.9,1.2,0.95,1.55,0.575,575
2024-04-22T00:00:00.000Z,0.6,4.09,1.2,1.02,1.5,0.494,562
2024-04-23T00:00:00.000Z,0.38,4.57,2.22,1.6,2.75,0.83,563
2024-04-24T00:00:00.000Z,1.77,8.02,4.3,3.55,4.95,1.094,577
2024-04-25T00:00:00.000Z,0.65,5.35,1.52,1.1,2.72,1.088,571
2024-04-26T00:00:00.000Z,1.63,8.57,4.03,3.03,5.25,1.52,557
2024-04-27T00:00:00.000Z,0.82,9.85,5.85,1.9,7.72,2.751,575
2024-04-28T00:00:00.000Z,1.12,8.88,2.8,2,3.28,0.851,583
2024-04-29T00:00:00.000Z,0.3,5.18,1.13,0.7,1.5,1.074,580
2024-04-30T00:00:00.000Z,0.22,3.88,0.9,0.6,1.2,0.456,572
2024-05-01T00:00:00.000Z,1.48,4.15,2.4,2.08,2.95,0.56,540
2024-05-02T00:00:00.000Z,0.9,12.15,1.58,1.38,1.74,0.615,569
2024-05-03T00:00:00.000Z,0.8,2.72,1.7,1.45,1.9,0.301,580
2024-05-04T00:00:00.000Z,1.25,15.9,2.15,1.73,3.3,4.104,366
2024-05-05T00:00:00.000Z,1.3,19.57,8.43,4.34,12.74,4.883,465
2024-05-06T00:00:00.000Z,0.1,18.32,3.9,1.17,13.77,6.449,579
2024-05-07T00:00:00.000Z,0.7,4.63,1.8,1.58,2.08,0.518,568
2024-05-08T00:00:00.000Z,1.33,10.6,4.78,3.35,7.25,2.382,579
2024-05-09T00:00:00.000Z,1.95,14.52,6.35,4.68,8.3,2.538,575
2024-05-10T00:00:00.000Z,1.75,8.85,4.09,3.46,5.07,1.507,573
2024-05-11T00:00:00.000Z,0.6,11.23,2.67,1.1,6.38,3.078,572
