date, pm25, pm10, no2
2022/7/12, 12, 12, 9
2022/7/13, 18, 7, 7
2022/7/14, 9, 4, 5
2022/7/15, 6, 3, 3
2022/7/16, 4, 3, 3
2022/7/17, 4, 11, 9
2022/7/18, 18, 11, 8
2022/7/19, 24, 10, 7
2022/7/20, 21, 20, 13
2022/7/21, 32, 25, 17
2022/7/22, 53, 9, 5
2022/7/23, 21, 7, 5
2022/7/24, 12, 14, 7
2022/7/25, 27, 11, 6
2022/7/26, 24, 8, 8
2022/7/27, 13, 7, 6
2022/7/28, 8, 6, 9
2022/7/29, 8, 7, 8
2022/7/30, 11, 6, 5
2022/7/31, 8, 9, 7
2022/8/1, 12, 8, 7
2022/8/2, 14, 11, 5
2022/8/3, 17, 14, 7
2022/8/4, 25, 20, 11
2022/8/5, 46, 7, 5
2022/8/6, 13, 7, 6
2022/8/7, 13, 10, 9
2022/8/8, 20, 11, 10
2022/8/9, 18, 12, 8
2022/8/10, 18, 11, 11
2022/8/11, 17, 12, 13
2022/8/12, 20, 10, 4
2022/8/13, 17, 12, 5
2022/8/14, 19, 21, 11
2022/8/15, 39, ,
2022/8/17, 48, 23, 16
2022/8/18, 51, 29, 9
2022/8/19, 53, 23, 6
2022/8/20, 51, 11, 8
2022/8/21, 20, 13, 12
2022/8/22, 19, 16, 17
2022/8/23, 26, 10, 14
2022/8/24, 13, 14, 18
2022/8/25, 21, 13, 10
2022/8/26, 28, 27, 11
2022/8/27, 54, 6, 5
2022/8/28, 16, 5, 6
2022/8/29, 8, 4, 6
2022/8/30, 6, 5, 7
2022/8/31, 8, 5, 8
2022/9/1, 7, 5, 10
2022/9/2, 8, 5, 10
2022/9/3, 9, 5, 8
2022/9/4, 10, 7, 12
2022/9/5, 12, 12, 15
2022/9/6, 18, 6, 11
2022/9/7, 10, 7, 11
2022/9/8, 12, 9, 9
2022/9/9, 15, 15, 10
2022/9/10, 24, 15, 11
2022/9/11, 25, 18, 16
2022/9/12, 31, 7, 6
2022/9/13, 18, 6, 12
2022/9/14, 10, 4, 11
2022/9/15, 8, 4, 8
2022/9/16, 9, 3, 5
2022/9/17, 9, 4, 4
2022/9/18, 10, 2, 5
2022/9/19, 6, 5, 7
2022/9/20, 9, 6, 14
2022/9/21, 11, 11, 16
2022/9/22, 17, 11, 14
2022/9/23, 22, 14, 15
2022/9/24, 29, 10, 10
2022/9/25, 26, 8, 8
2022/9/26, 23, 14, 6
2022/9/27, 36, 11, 10
2022/9/28, 27, 7, 9
2022/9/29, 16, 9, 12
2022/9/30, 18, 10, 6
2022/4/1, 25, 34, 14
2022/4/2, 28, 29, 9
2022/4/3, 18, 8, 12
2022/4/4, 12, 10, 7
2022/4/5, 11, 31, 11
2022/4/6, 18, 4, 13
2022/4/7, 11, 5, 8
2022/4/8, 11, 3, 6
2022/4/9, 8, 14, 6
2022/4/10, 9, 49, 15
2022/4/11, 25, 71, 17
2022/4/12, 39, 41, 11
2022/4/13, 24, 13, 12
2022/4/14, 31, 13, 4
2022/4/15, 13, 23, 8
2022/4/16, 14, 21, 7
2022/4/17, 16, 25, 8
2022/4/18, 24, 30, 11
2022/4/19, 23, 39, 14
2022/4/20, 32, 44, 13
2022/4/21, 30, 29, 11
2022/4/22, 22, 16, 5
2022/4/23, 15, 14, 5
