date, pm25, pm10, o3, no2, so2, co
2023/9/5, 22, , 4, , 13, 3
2023/9/8, 35, 36, 4, , 6, 3
2023/9/9, 53, 26, 4, , 6, 3
2023/9/10, 36, 28, 4, , 6, 3
2023/9/11, 41, 29, 4, , 6, 2
2023/9/12, 54, 27, 4, , 5, 3
2023/9/13, 51, 27, 4, 1, 5, 3
2023/9/14, 50, 27, 4, 2, 7, 3
2023/9/15, 49, 26, 4, , 7, 3
2023/9/16, 36, 34, 4, , 8, 3
2023/9/17, 45, 28, 4, , 7, 3
2023/9/18, 34, 28, 4, , 6, 3
2023/9/19, 32, 17, 4, , 6, 3
2023/9/20, 19, 16, 4, , 6, 3
2023/9/21, 20, 17, 4, , 5, 5
2023/9/22, 27, 24, 4, , 6, 5
2023/9/23, 41, 18, 4, , 5, 4
2023/9/24, 41, 23, 4, , 6, 4
2023/9/25, 44, 20, 4, , 7, 3
2023/9/26, 47, 39, 4, , 8, 4
2023/9/27, 85, 53, 4, , 8, 5
2023/9/28, 118, 55, 4, , 9, 5
2023/9/29, 116, 50, 4, , 9, 4
2023/9/30, 106, 53, 4, , 9, 5
2023/4/3, 54, 46, 4, 1, 6, 
2023/4/4, 55, 54, 4, 1, 7, 
2023/4/5, 74, 74, 4, 1, 6, 
2023/4/6, 108, 92, 5, 1, 6, 
2023/4/7, 121, 88, 4, 1, 6, 
2023/4/8, 145, 102, 4, 1, 7, 1
2023/4/9, 176, 87, 4, 1, 7, 3
2023/4/10, 136, 76, 4, 1, 6, 4
2023/4/11, 102, 68, 4, 1, 6, 5
2023/4/12, 100, 81, 4, 1, 6, 5
2023/4/13, 149, 72, 4, 1, 6, 5
2023/4/14, 100, 63, 4, 1, 9, 4
2023/4/15, 93, 60, 4, 1, 7, 6
2023/4/16, 67, 60, 4, 1, 7, 3
2023/4/17, 73, 70, 4, 1, 7, 
2023/4/18, 103, 89, 4, 1, 7, 
2023/4/19, 118, 57, 5, 2, 7, 
2023/4/20, 55, 52, 4, , 6, 
2023/4/21, 59, 46, 4, , 6, 
2023/4/22, 63, 53, 4, 1, 6, 
2023/4/23, 67, 54, 4, 1, 6, 
2023/4/24, 106, 65, 4, 2, 6, 
2023/4/25, 103, 60, 4, 2, 5, 
2023/4/26, 83, 60, 4, 1, 5, 1
2023/4/27, 84, 42, 4, 1, 5, 7
2023/4/28, 60, 43, 4, 1, 6, 13
2023/4/29, 61, 39, 5, 1, 5, 15
2023/4/30, 52, 38, 5, 1, 5, 26
2023/5/1, 49, 33, 6, 1, 5, 51
2023/5/2, 46, 46, 5, 1, 5, 31
2023/5/3, 62, 50, 4, 1, 5, 
2023/5/4, 77, 52, 4, 1, 5, 
2023/5/5, 69, 48, 4, 1, 4, 
2023/5/6, 71, 48, 4, 1, , 
2023/5/7, 74, 49, 4, 1, 3, 
2023/5/8, 67, 58, 4, 1, 2, 3
2023/5/9, 70, 72, 4, 1, 2, 4
2023/5/10, 83, 74, 4, 1, 1, 5
2023/5/11, 109, 121, 12, 4, 5, 2
2023/5/12, 136, 128, 5, 1, 1, 4
2023/5/13, 122, 37, 4, , , 2
2023/5/14, 52, 58, 4, 1, 1, 4
2023/5/15, 88, 90, 19, 19, 4, 4
2023/5/16, 128, 53, 4, , 1, 3
2023/5/17, 76, 39, 4, , 3, 2
2023/5/18, 61, 46, 4, , 4, 13
2023/5/19, 54, , , , , 
2023/5/22, 59, 60, 4, , 1, 
2023/5/23, 81, 50, 4, 1, 1, 
2023/5/24, 85, , 4, 1, 1, 12
2023/5/25, 64, 78, 4, 2, , 25
2023/5/26, 89, 51, 4, , , 27
2023/5/27, 62, 53, 4, , 2, 31
2023/5/28, 70, 78, 4, , 1, 33
2023/5/29, 110, 64, 8, 1, 1, 34
2023/5/30, 107, 53, 4, 3, 5, 35
2023/5/31, 60, 54, 4, 3, 23, 37
2023/6/1, 54, 48, 4, 2, , 38
2023/6/2, 54, 34, 4, 2, , 39
2023/6/3, 44, 41, 4, 2, , 40
2023/6/4, 47, 40, 4, 2, , 40
2023/6/5, 57, 46, 4, , , 41
2023/6/6, 69, 48, 4, , , 43
2023/6/7, 132, , 4, 1, , 46
2023/6/8, 189, 43, 4, , 39, 29
2023/6/9, 140, 38, 4, 2, 23, 1
2023/6/10, 27, 56, 4, 1, 52, 1
2023/6/11, 44, 69, 4, 1, 62, 1
2023/6/12, 61, 56, 4, , 63, 1
2023/6/13, 54, 45, 4, 2, 63, 1
2023/6/14, 50, 42, 4, , 63, 1
2023/6/15, 47, 42, 4, , 63, 1
2023/6/16, 44, 45, 4, , 62, 1
2023/6/17, 53, 47, 4, , 59, 1
2023/6/18, 50, 50, 4, , 62, 1
2023/6/19, 56, 54, 4, , 62, 1
2023/6/20, 58, 53, 4, , 59, 1
